name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	soz	resected	edge	Destrieux_label	Destrieux_label_text
FB49	-13.174222946167	60.1694221496582	26.1112365722656	4.2	Platinum	AdTech	grid	L	no	no	no	no	16	G_front_sup
FB50	-17.7493591308594	52.2606925964355	27.4287986755371	4.2	Platinum	AdTech	grid	L	no	no	no	no	15	G_front_middle
FB51	-27.7684116363525	47.2846565246582	18.5150489807129	4.2	Platinum	AdTech	grid	L	no	no	no	no	15	G_front_middle
FB52	-31.6340942382812	46.2646865844727	20.8757801055908	4.2	Platinum	AdTech	grid	L	no	no	no	no	15	G_front_middle
FB53	-43.8902053833008	35.5620574951172	28.2694244384766	4.2	Platinum	AdTech	grid	L	no	no	no	no	15	G_front_middle
FB54	-51.1012954711914	26.2716331481934	17.510669708252	4.2	Platinum	AdTech	grid	L	no	no	no	no	14	G_front_inf-Triangul
FB55	-56.5788383483887	23.5621662139893	11.43186378479	4.2	Platinum	AdTech	grid	L	no	no	no	no	14	G_front_inf-Triangul
FB56	-59.3532600402832	5.64862871170044	4.2813081741333	4.2	Platinum	AdTech	grid	L	no	no	no	no	12	G_front_inf-Opercular
FB57	-11.3613862991333	67.0150909423828	16.8434448242188	4.2	Platinum	AdTech	grid	L	no	no	no	no	16	G_front_sup
FB58	-21.8987083435059	60.6462821960449	18.4543838500977	4.2	Platinum	AdTech	grid	L	no	no	no	no	15	G_front_middle
FB59	-38.3967208862305	51.8401489257812	17.98313331604	4.2	Platinum	AdTech	grid	L	no	no	no	no	15	G_front_middle
FB60	-38.5791091918945	48.3022689819336	20.6138610839844	4.2	Platinum	AdTech	grid	L	no	no	no	no	15	G_front_middle
FB61	-44.0841293334961	41.0159683227539	21.4492988586426	4.2	Platinum	AdTech	grid	L	no	no	no	no	15	G_front_middle
FB62	-47.611946105957	33.0958824157715	11.1837244033813	4.2	Platinum	AdTech	grid	L	no	no	no	no	14	G_front_inf-Triangul
FB63	-55.1619033813477	28.5179748535156	6.27795505523682	4.2	Platinum	AdTech	grid	L	no	no	no	no	14	G_front_inf-Triangul
FB64	-56.2909660339355	9.0501880645752	-15.3026676177979	4.2	Platinum	AdTech	grid	L	no	no	no	no	34	G_temp_sup-Lateral
F05	-21.8266792297363	47.9111557006836	35.8573532104492	4.2	Platinum	AdTech	grid	L	no	no	no	no	15	G_front_middle
F06	-28.0157165527344	44.7356567382812	19.6533813476562	4.2	Platinum	AdTech	grid	L	no	no	no	no	15	G_front_middle
F07	-39.3901214599609	38.8117446899414	31.7950630187988	4.2	Platinum	AdTech	grid	L	yes	no	no	no	15	G_front_middle
F08	-44.058219909668	34.8825149536133	27.244945526123	4.2	Platinum	AdTech	grid	L	yes	no	no	no	15	G_front_middle
