onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
48.48046875	0.7919921875	artefact	n/a	all	all	49.2724609375	99288	100910	n/a	n/a	n/a	n/a	n/a	n/a
117.34228515625	1.92626953125	artefact	n/a	all	all	119.2685546875	240317	244262	n/a	n/a	n/a	n/a	n/a	n/a
5	0.001	electrical_stimulation	SPESclin	n/a	n/a	5.00099999999998	10240	1.024205e+04	monophasic	FB54-FB62	0.006	0.2	0.001	n/a
10	0.001	electrical_stimulation	SPESclin	n/a	n/a	10.001	20480	2.048205e+04	monophasic	FB54-FB62	0.006	0.2	0.001	n/a
15	0.001	electrical_stimulation	SPESclin	n/a	n/a	15.001	30720	3.072205e+04	monophasic	FB54-FB62	0.006	0.2	0.001	n/a
20	0.001	electrical_stimulation	SPESclin	n/a	n/a	20.001	40960	4.096205e+04	monophasic	FB54-FB62	0.006	0.2	0.001	n/a
25	0.001	electrical_stimulation	SPESclin	n/a	n/a	25.001	51200	5.120205e+04	monophasic	FB54-FB62	0.006	0.2	0.001	n/a
30	0.001	electrical_stimulation	SPESclin	n/a	n/a	30.001	61440	6.144205e+04	monophasic	FB54-FB62	0.006	0.2	0.001	n/a
35	0.001	electrical_stimulation	SPESclin	n/a	n/a	35.001	71680	7.168205e+04	monophasic	FB54-FB62	0.006	0.2	0.001	n/a
40	0.001	electrical_stimulation	SPESclin	n/a	n/a	40.001	81920	8.192205e+04	monophasic	FB54-FB62	0.006	0.2	0.001	n/a
45	0.001	electrical_stimulation	SPESclin	n/a	n/a	45.001	92160	9.216205e+04	monophasic	FB54-FB62	0.006	0.2	0.001	n/a
50	0.001	electrical_stimulation	SPESclin	n/a	n/a	50.001	102400	1.024020e+05	monophasic	FB54-FB62	0.006	0.2	0.001	n/a
65.84375	0.001	electrical_stimulation	SPESclin	n/a	n/a	65.84475	134848	1.348500e+05	monophasic	FB54-FB53	0.006	0.2	0.001	n/a
70.84375	0.001	electrical_stimulation	SPESclin	n/a	n/a	70.84475	145088	1.450900e+05	monophasic	FB54-FB53	0.006	0.2	0.001	n/a
75.84375	0.001	electrical_stimulation	SPESclin	n/a	n/a	75.84475	155328	1.553300e+05	monophasic	FB54-FB53	0.006	0.2	0.001	n/a
80.84375	0.001	electrical_stimulation	SPESclin	n/a	n/a	80.84475	165568	1.655700e+05	monophasic	FB54-FB53	0.006	0.2	0.001	n/a
85.84375	0.001	electrical_stimulation	SPESclin	n/a	n/a	85.84475	175808	1.758100e+05	monophasic	FB54-FB53	0.006	0.2	0.001	n/a
90.84375	0.001	electrical_stimulation	SPESclin	n/a	n/a	90.84475	186048	1.860500e+05	monophasic	FB54-FB53	0.006	0.2	0.001	n/a
95.84375	0.001	electrical_stimulation	SPESclin	n/a	n/a	95.84475	196288	1.962900e+05	monophasic	FB54-FB53	0.006	0.2	0.001	n/a
100.84375	0.001	electrical_stimulation	SPESclin	n/a	n/a	100.84475	206528	2.065300e+05	monophasic	FB54-FB53	0.006	0.2	0.001	n/a
105.84375	0.001	electrical_stimulation	SPESclin	n/a	n/a	105.84475	216768	2.167700e+05	monophasic	FB54-FB53	0.006	0.2	0.001	n/a
110.84375	0.001	electrical_stimulation	SPESclin	n/a	n/a	110.84475	227008	2.270100e+05	monophasic	FB54-FB53	0.006	0.2	0.001	n/a
124.28076171875	0.001	electrical_stimulation	SPESclin	n/a	n/a	124.28176171875	254527	2.545290e+05	monophasic	FB54-FB55	0.006	0.2	0.001	n/a
129.28076171875	0.001	electrical_stimulation	SPESclin	n/a	n/a	129.28176171875	264767	2.647690e+05	monophasic	FB54-FB55	0.006	0.2	0.001	n/a
134.28076171875	0.001	electrical_stimulation	SPESclin	n/a	n/a	134.28176171875	275007	2.750090e+05	monophasic	FB54-FB55	0.006	0.2	0.001	n/a
139.28076171875	0.001	electrical_stimulation	SPESclin	n/a	n/a	139.28176171875	285247	2.852490e+05	monophasic	FB54-FB55	0.006	0.2	0.001	n/a
144.28076171875	0.001	electrical_stimulation	SPESclin	n/a	n/a	144.28176171875	295487	2.954890e+05	monophasic	FB54-FB55	0.006	0.2	0.001	n/a
149.28076171875	0.001	electrical_stimulation	SPESclin	n/a	n/a	149.28176171875	305727	3.057290e+05	monophasic	FB54-FB55	0.006	0.2	0.001	n/a
154.28076171875	0.001	electrical_stimulation	SPESclin	n/a	n/a	154.28176171875	315967	3.159690e+05	monophasic	FB54-FB55	0.006	0.2	0.001	n/a
159.28076171875	0.001	electrical_stimulation	SPESclin	n/a	n/a	159.28176171875	326207	3.262090e+05	monophasic	FB54-FB55	0.006	0.2	0.001	n/a
164.28076171875	0.001	electrical_stimulation	SPESclin	n/a	n/a	164.28176171875	336447	3.364490e+05	monophasic	FB54-FB55	0.006	0.2	0.001	n/a
169.28076171875	0.001	electrical_stimulation	SPESclin	n/a	n/a	169.28176171875	346687	3.466890e+05	monophasic	FB54-FB55	0.006	0.2	0.001	n/a
