name	x	y	z	size	hemisphere	seizure_zone	Destrieux_label	Destrieux_label_text
RB13	64.5944385495186	-44.9943256851584	-4.64032778644562	n/a	R	n/a	12138	rh_G_temporal_middle
RA1	16.5818642926574	-0.382243477948001	-16.0960743226171	n/a	R	n/a	54	Right_Amygdala
RA2	20.1800664245427	-0.617021149475127	-16.0127660285175	n/a	R	n/a	54	Right_Amygdala
RA3	23.7666721318781	-0.862652879316365	-15.9120084128797	n/a	R	n/a	54	Right_Amygdala
RA4	27.3532683090031	-1.08768868071213	-15.827980851239	n/a	R	n/a	54	Right_Amygdala
RA5	30.9514406991005	-1.32352640451491	-15.7351490849257	n/a	R	n/a	54	Right_Amygdala
RA6	34.5377597792149	-1.55877436730266	-15.6431426666975	n/a	R	n/a	54	Right_Amygdala
RA7	38.1364230735898	-1.79465421604366	-15.5502940937877	n/a	R	n/a	41	Right_Cerebral_White_Matter
RA8	41.7109761162996	-2.03001615871489	-15.4578865751028	n/a	R	n/a	41	Right_Cerebral_White_Matter
RA9	45.2973261508346	-2.26475478745253	-15.3750700846314	n/a	R	n/a	41	Right_Cerebral_White_Matter
RA10	48.8954774683118	-2.50000648010522	-15.2827779175639	n/a	R	n/a	41	Right_Cerebral_White_Matter
RA11	52.4823470326662	-2.7354025066048	-15.1901365283728	n/a	R	n/a	12173	rh_S_temporal_inf
RA12	56.0807071980238	-2.96198218251766	-15.0963783107996	n/a	R	n/a	12173	rh_S_temporal_inf
RA13	59.6668451228738	-3.20649996417015	-15.0052296589017	n/a	R	n/a	12138	rh_G_temporal_middle
RA14	63.2537456416488	-3.44138665661961	-14.9217781974673	n/a	R	n/a	12138	rh_G_temporal_middle
