name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description	headbox
RA1	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RA2	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RA3	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RA4	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RA5	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RA6	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RA7	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RA8	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RA9	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RA10	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RA11	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RA12	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RA13	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RA14	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RA15	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
RB13	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	good	n/a	1
RB14	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
RB15	SEEG	µV	878	0.01	intracranial	n/a	2048	n/a	bad	n/a	1
