onset	duration	trial_type	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	status	status_description
12.12125	0.0002	electrical_stimulation	biphasic	ROC1-ROC2	175-176	6.0 mA	good	n/a
16.26625	0.0002	electrical_stimulation	biphasic	ROC1-ROC2	175-176	6.0 mA	good	n/a
20.58729167	0.0002	electrical_stimulation	biphasic	ROC1-ROC2	175-176	6.0 mA	good	n/a
25.18041667	0.0002	electrical_stimulation	biphasic	ROC1-ROC2	175-176	6.0 mA	good	n/a
28.653125	0.0002	electrical_stimulation	biphasic	ROC1-ROC2	175-176	6.0 mA	good	n/a
31.64604167	0.0002	electrical_stimulation	biphasic	ROC1-ROC2	175-176	6.0 mA	good	n/a
36.063125	0.0002	electrical_stimulation	biphasic	ROC1-ROC2	175-176	6.0 mA	good	n/a
38.815625	0.0002	electrical_stimulation	biphasic	ROC1-ROC2	175-176	6.0 mA	good	/Interictal-findings/Attribute/Categorical/Categorical-level/High
41.8725	0.0002	electrical_stimulation	biphasic	ROC1-ROC2	175-176	6.0 mA	good	n/a
44.176875	0.0002	electrical_stimulation	biphasic	ROC1-ROC2	175-176	6.0 mA	good	n/a
46.60958333	0.0002	electrical_stimulation	biphasic	ROC1-ROC2	175-176	6.0 mA	good	n/a
50.354375	0.0002	electrical_stimulation	biphasic	ROC1-ROC2	175-176	6.0 mA	good	n/a
66.134375	0.0002	electrical_stimulation	biphasic	ROC2-ROC3	176-177	6.0 mA	good	n/a
70.279375	0.0002	electrical_stimulation	biphasic	ROC2-ROC3	176-177	6.0 mA	good	n/a
74.60041667	0.0002	electrical_stimulation	biphasic	ROC2-ROC3	176-177	6.0 mA	good	n/a
79.19354167	0.0002	electrical_stimulation	biphasic	ROC2-ROC3	176-177	6.0 mA	good	n/a
82.66645833	0.0002	electrical_stimulation	biphasic	ROC2-ROC3	176-177	6.0 mA	good	n/a
85.643125	0.0002	electrical_stimulation	biphasic	ROC2-ROC3	176-177	6.0 mA	good	n/a
90.06020833	0.0002	electrical_stimulation	biphasic	ROC2-ROC3	176-177	6.0 mA	good	n/a
92.81291667	0.0002	electrical_stimulation	biphasic	ROC2-ROC3	176-177	6.0 mA	good	n/a
95.86958333	0.0002	electrical_stimulation	biphasic	ROC2-ROC3	176-177	6.0 mA	good	n/a
98.17416667	0.0002	electrical_stimulation	biphasic	ROC2-ROC3	176-177	6.0 mA	good	n/a
100.6066667	0.0002	electrical_stimulation	biphasic	ROC2-ROC3	176-177	6.0 mA	good	/Interictal-findings/Attribute/Categorical/Categorical-level/High
104.351875	0.0002	electrical_stimulation	biphasic	ROC2-ROC3	176-177	6.0 mA	good	RP8 & RV9 bad channels, /Interictal-findings/Attribute/Categorical/Categorical-level/Low
120.1314583	0.0002	electrical_stimulation	biphasic	ROC3-ROC4	177-178	6.0 mA	good	/Interictal-findings/Attribute/Categorical/Categorical-level/Low
124.27625	0.0002	electrical_stimulation	biphasic	ROC3-ROC4	177-178	6.0 mA	good	n/a
128.5975	0.0002	electrical_stimulation	biphasic	ROC3-ROC4	177-178	6.0 mA	good	n/a
133.190625	0.0002	electrical_stimulation	biphasic	ROC3-ROC4	177-178	6.0 mA	good	n/a
136.6635417	0.0002	electrical_stimulation	biphasic	ROC3-ROC4	177-178	6.0 mA	good	n/a
