name	x	y	z	size	hemisphere	seizure_zone	Destrieux_label	Destrieux_label_text
RZ1	2.22280692130327	-25.7622879412845	30.0364108002782	n/a	R	n/a	12108	rh_G_and_S_cingul-Mid-Post
RZ2	6.43354741990566	-25.7839558461159	30.1540614870786	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ3	10.6437201678157	-25.7865433129147	30.2736100283265	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ4	14.8544991737604	-25.8077311253697	30.3913392802477	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ5	19.0646301525235	-25.8119058207199	30.520607468307	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ6	31.6960192759633	-25.8480488319769	30.8764455929399	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ7	35.9064256911278	-25.8609258980304	31.0041958521604	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ8	40.1168630607128	-25.8732936300337	31.1227561836242	n/a	R	IrritativeZone	12146	rh_S_central
RZ9	44.3274083994031	-25.884191843234	31.2322837175727	n/a	R	IrritativeZone	12146	rh_S_central
RZ10	48.5377763072252	-25.8975490016639	31.3599554116726	n/a	R	IrritativeZone	12146	rh_S_central
RZ11	56.958135807693	-25.9227634457573	31.6063178806901	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ12	61.169165430665	-25.933692012921	31.7157935363054	n/a	R	n/a	41	Right_Cerebral_White_Matter
RZ13	65.39136557585	-25.9470529012159	31.8437509792447	n/a	R	n/a	12128	rh_G_postcentral
RV1	34.345634767592	-1.32652674774081	1.17942131048441	n/a	R	SOZ	51	Right_Putamen
RV2	34.0057960846424	-3.07727115431427	4.30579486358165	n/a	R	SOZ	51	Right_Putamen
RV3	33.6657204726338	-4.81883309780807	7.43376491063833	n/a	R	n/a	51	Right_Putamen
RV4	33.3258817896843	-6.56957750438155	10.5601384637356	n/a	R	n/a	51	Right_Putamen
RV5	32.9742493767142	-8.31983808871359	13.6863048331141	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RV6	32.6466122601032	-10.0800041077286	16.8127413396835	n/a	R	SOZ	41	Right_Cerebral_White_Matter
RV7	31.9543119817376	-13.5732658003941	23.0759624319673	n/a	R	n/a	41	Right_Cerebral_White_Matter
RV8	31.6268592821956	-15.3230548643693	26.1934584929347	n/a	R	n/a	41	Right_Cerebral_White_Matter
RV9	31.2751883618832	-17.0737955410778	29.3195462971926	n/a	R	n/a	41	Right_Cerebral_White_Matter
RV10	30.9349006401897	-18.8251366374865	32.4558485056758	n/a	R	n/a	41	Right_Cerebral_White_Matter
RV11	30.5950619572401	-20.57588104406	35.582222058773	n/a	R	n/a	41	Right_Cerebral_White_Matter
RV12	30.2552894742489	-22.3267431603819	38.7092824611664	n/a	R	n/a	41	Right_Cerebral_White_Matter
RV13	29.5757932636142	-25.8189621546641	44.9628873336911	n/a	R	n/a	12170	rh_S_precentral-sup-part
RV14	29.2358396253586	-27.5790940898508	48.0890899697542	n/a	R	n/a	12170	rh_S_precentral-sup-part
RV15	28.8842072123885	-29.3293546741828	51.2152563391328	n/a	R	n/a	12170	rh_S_precentral-sup-part
RV16	28.5563819220662	-31.0708329917565	54.3427734073997	n/a	R	n/a	12170	rh_S_precentral-sup-part
RV17	28.2042929174304	-32.8216610242501	57.4695999392867	n/a	R	n/a	12170	rh_S_precentral-sup-part
RP1	36.132455286324	-14.49198137974	-1.92963161724806	n/a	R	n/a	12149	rh_S_circular_insula_inf
RP2	35.2618836645484	-12.6857716599926	1.06060285645724	n/a	R	n/a	51	Right_Putamen
RP3	34.3916151717901	-10.8888621130735	4.04992768549918	n/a	R	n/a	51	Right_Putamen
RP4	33.5209355809093	-9.08412191212922	7.04919495671987	n/a	R	n/a	41	Right_Cerebral_White_Matter
RP5	32.6624331255555	-7.28709838532657	10.0381186853051	n/a	R	SOZ	51	Right_Putamen
RP6	31.7923072807193	-5.48139911191911	13.0282227155566	n/a	R	SOZ	51	Right_Putamen
RP7	30.0513282426596	-1.88025869810581	19.0260047435761	n/a	R	n/a	41	Right_Cerebral_White_Matter
RP8	29.1805369582772	-0.0837988895997448	22.0153028858304	n/a	R	n/a	41	Right_Cerebral_White_Matter
RP9	28.3222123963833	1.72138731989264	25.0148825926781	n/a	R	n/a	41	Right_Cerebral_White_Matter
RP10	27.4516022672653	3.52711694726348	28.0050385012627	n/a	R	n/a	41	Right_Cerebral_White_Matter
RP11	26.5814487298131	5.33341402279585	30.9945342473388	n/a	R	n/a	41	Right_Cerebral_White_Matter
