onset	duration	trial_type	electrodes_involved_onset	electrodes_involved_offset	sample_start	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	notes	status	status_description
0.15380859375	0.0002	electrical_stimulation	n/a	n/a	756027	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
5.48681640625	0.0002	electrical_stimulation	n/a	n/a	766949	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
10.7314453125	0.0002	electrical_stimulation	n/a	n/a	777690	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
15.83544921875	0.0002	electrical_stimulation	n/a	n/a	788143	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
21.77880859375	0.0002	electrical_stimulation	n/a	n/a	800315	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
27.0859375	0.0002	electrical_stimulation	n/a	n/a	811184	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
31.96044921875	0.0002	electrical_stimulation	n/a	n/a	821167	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
36.95458984375	0.0002	electrical_stimulation	n/a	n/a	831395	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
42.84619140625	0.0002	electrical_stimulation	n/a	n/a	843461	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	artif ~onset fixed when referencing
46.56298828125	0.0002	electrical_stimulation	n/a	n/a	851073	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
51.8388671875	0.0002	electrical_stimulation	n/a	n/a	861878	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
56.640625	0.0002	electrical_stimulation	n/a	n/a	871712	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
61.0927734375	0.0002	electrical_stimulation	n/a	n/a	880830	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
65.55029296875	0.0002	electrical_stimulation	n/a	n/a	889959	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
70.91455078125	0.0002	electrical_stimulation	n/a	n/a	900945	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
98.05419921875	0.0002	electrical_stimulation	n/a	n/a	956527	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
102.6787109375	0.0002	electrical_stimulation	n/a	n/a	965998	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
111.0498046875	0.0002	electrical_stimulation	n/a	n/a	983142	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
124.7607421875	0.0002	electrical_stimulation	n/a	n/a	1011222	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
134.32373046875	0.0002	electrical_stimulation	n/a	n/a	1030807	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
142.7734375	0.0002	electrical_stimulation	n/a	n/a	1048112	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
168.82275390625	0.0002	electrical_stimulation	n/a	n/a	1101461	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
175.92529296875	0.0002	electrical_stimulation	n/a	n/a	1116007	biphasic	ROP2-ROP3	125-126	6.0 mA	n/a	good	n/a
200.72802734375	0.0002	electrical_stimulation	n/a	n/a	1166803	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
205.6796875	0.0002	electrical_stimulation	n/a	n/a	1176944	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
210.162109375	0.0002	electrical_stimulation	n/a	n/a	1186124	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
214.67724609375	0.0002	electrical_stimulation	n/a	n/a	1195371	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
218.92578125	0.0002	electrical_stimulation	n/a	n/a	1204072	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
222.6796875	0.0002	electrical_stimulation	n/a	n/a	1211760	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
226.69873046875	0.0002	electrical_stimulation	n/a	n/a	1219991	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
234.72216796875	0.0002	electrical_stimulation	n/a	n/a	1236423	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
239.1953125	0.0002	electrical_stimulation	n/a	n/a	1245584	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
243.27734375	0.0002	electrical_stimulation	n/a	n/a	1253944	biphasic	ROP1-ROP2	124-125	6.0 mA	n/a	good	n/a
260.98876953125	0.0002	electrical_stimulation	n/a	n/a	1290217	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
265.39892578125	0.0002	electrical_stimulation	n/a	n/a	1299249	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
270.01953125	0.0002	electrical_stimulation	n/a	n/a	1308712	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
274.47607421875	0.0002	electrical_stimulation	n/a	n/a	1317839	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
278.740234375	0.0002	electrical_stimulation	n/a	n/a	1326572	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
284.099609375	0.0002	electrical_stimulation	n/a	n/a	1337548	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
288.5205078125	0.0002	electrical_stimulation	n/a	n/a	1346602	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
293.54638671875	0.0002	electrical_stimulation	n/a	n/a	1356895	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
297.654296875	0.0002	electrical_stimulation	n/a	n/a	1365308	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
302.404296875	0.0002	electrical_stimulation	n/a	n/a	1375036	biphasic	ROP4-ROP2	127-125	6.0 mA	n/a	good	n/a
323.3486328125	0.0002	electrical_stimulation	n/a	n/a	1417930	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
327.73583984375	0.0002	electrical_stimulation	n/a	n/a	1426915	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
332.1513671875	0.0002	electrical_stimulation	n/a	n/a	1435958	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
336.2861328125	0.0002	electrical_stimulation	n/a	n/a	1444426	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
341.57275390625	0.0002	electrical_stimulation	n/a	n/a	1455253	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
346.52978515625	0.0002	electrical_stimulation	n/a	n/a	1465405	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
352.54248046875	0.0002	electrical_stimulation	n/a	n/a	1477719	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
356.87841796875	0.0002	electrical_stimulation	n/a	n/a	1486599	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
361.22119140625	0.0002	electrical_stimulation	n/a	n/a	1495493	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
365.93408203125	0.0002	electrical_stimulation	n/a	n/a	1505145	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
370.1201171875	0.0002	electrical_stimulation	n/a	n/a	1513718	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
379.91015625	0.0002	electrical_stimulation	n/a	n/a	1533768	biphasic	ROP4-ROP5	127-128	6.0 mA	n/a	good	n/a
414.77294921875	0.0002	electrical_stimulation	n/a	n/a	1605167	biphasic	ROP5-ROP6	128-129	6.0 mA	n/a	good	n/a
461.46435546875	0.0002	electrical_stimulation	n/a	n/a	1700791	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
465.1240234375	0.0002	electrical_stimulation	n/a	n/a	1708286	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
469.0126953125	0.0002	electrical_stimulation	n/a	n/a	1716250	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
472.67822265625	0.0002	electrical_stimulation	n/a	n/a	1723757	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
476.65087890625	0.0002	electrical_stimulation	n/a	n/a	1731893	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
480.57666015625	0.0002	electrical_stimulation	n/a	n/a	1739933	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
484.50146484375	0.0002	electrical_stimulation	n/a	n/a	1747971	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
488.255859375	0.0002	electrical_stimulation	n/a	n/a	1755660	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
492.1494140625	0.0002	electrical_stimulation	n/a	n/a	1763634	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
497.29052734375	0.0002	electrical_stimulation	n/a	n/a	1774163	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
501.13720703125	0.0002	electrical_stimulation	n/a	n/a	1782041	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
506.033203125	0.0002	electrical_stimulation	n/a	n/a	1792068	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
511.50732421875	0.0002	electrical_stimulation	n/a	n/a	1803279	biphasic	ROP2-ROP4	125-127	6.0 mA	n/a	good	n/a
536.109375	0.0002	electrical_stimulation	n/a	n/a	1853664	biphasic	RA1-RA2	1-2	6.0 mA	n/a	good	n/a
540.671875	0.0002	electrical_stimulation	n/a	n/a	1863008	biphasic	RA1-RA2	1-2	6.0 mA	n/a	good	n/a
545.1806640625	0.0002	electrical_stimulation	n/a	n/a	1872242	biphasic	RA1-RA2	1-2	6.0 mA	n/a	good	n/a
549.26806640625	0.0002	electrical_stimulation	n/a	n/a	1880613	biphasic	RA1-RA2	1-2	6.0 mA	n/a	good	n/a
553.083984375	0.0002	electrical_stimulation	n/a	n/a	1888428	biphasic	RA1-RA2	1-2	6.0 mA	n/a	good	n/a
556.50390625	0.0002	electrical_stimulation	n/a	n/a	1895432	biphasic	RA1-RA2	1-2	6.0 mA	n/a	good	n/a
560.28369140625	0.0002	electrical_stimulation	n/a	n/a	1903173	biphasic	RA1-RA2	1-2	6.0 mA	n/a	good	n/a
